section,line_item,fiscal_year,budgeted,actual
EMPLOYEE BENEFITS,Social Security*****,2016,16500,13823
EMPLOYEE BENEFITS,Social Security*****,2017,16700,
EMPLOYEE BENEFITS,Social Security*****,2018,,
EMPLOYEE BENEFITS,Medicare*****,2016,3900,3233
EMPLOYEE BENEFITS,Medicare*****,2017,3906,
EMPLOYEE BENEFITS,Medicare*****,2018,,
EMPLOYEE BENEFITS,Retirement*****,2016,12000,11339
EMPLOYEE BENEFITS,Retirement*****,2017,12810,
EMPLOYEE BENEFITS,Retirement*****,2018,,
EMPLOYEE BENEFITS,Life/ADD Insurance*****,2016,2000,1349
EMPLOYEE BENEFITS,Life/ADD Insurance*****,2017,3312,
EMPLOYEE BENEFITS,Life/ADD Insurance*****,2018,,
EMPLOYEE BENEFITS,Health Insurance*,2016,34500,36480
EMPLOYEE BENEFITS,Health Insurance*,2017,37300,
EMPLOYEE BENEFITS,Health Insurance*,2018,,
ADMINISTRATION,Wages: Office Staff*,2016,53353,41482
ADMINISTRATION,Wages: Office Staff*,2017,74320,
ADMINISTRATION,Wages: Office Staff*,2018,45000,
ADMINISTRATION,Wages: Payroll Tax,2016,,
ADMINISTRATION,Wages: Payroll Tax,2017,,
ADMINISTRATION,Wages: Payroll Tax,2018,3433,
ADMINISTRATION,Wages: Retirement,2016,,
ADMINISTRATION,Wages: Retirement,2017,,
ADMINISTRATION,Wages: Retirement,2018,1102,
ADMINISTRATION,Insurance: Health,2016,,
ADMINISTRATION,Insurance: Health,2017,,
ADMINISTRATION,Insurance: Health,2018,7500,
ADMINISTRATION,Insurance: Life/LTD/AD&D,2016,,
ADMINISTRATION,Insurance: Life/LTD/AD&D,2017,,
ADMINISTRATION,Insurance: Life/LTD/AD&D,2018,480,
ADMINISTRATION,Wages: Listers*,2016,7500,5451
ADMINISTRATION,Wages: Listers*,2017,0,
ADMINISTRATION,Wages: Listers*,2018,7500,
ADMINISTRATION,Wages: Payroll Tax,2016,,
ADMINISTRATION,Wages: Payroll Tax,2017,,
ADMINISTRATION,Wages: Payroll Tax,2018,1050,
ADMINISTRATION,Clerical Mileage,2016,250,0
ADMINISTRATION,Clerical Mileage,2017,0,
ADMINISTRATION,Clerical Mileage,2018,0,
ADMINISTRATION,Office Supplies,2016,2600,3355
ADMINISTRATION,Office Supplies,2017,2800,
ADMINISTRATION,Office Supplies,2018,3500,
ADMINISTRATION,Equipment Repair,2016,0,208
ADMINISTRATION,Equipment Repair,2017,0,
ADMINISTRATION,Equipment Repair,2018,0,
ADMINISTRATION,Equipment Purchase,2016,1000,70
ADMINISTRATION,Equipment Purchase,2017,500,
ADMINISTRATION,Equipment Purchase,2018,0,
ADMINISTRATION,Telephone,2016,4200,4466
ADMINISTRATION,Telephone,2017,4400,
ADMINISTRATION,Telephone,2018,4800,
ADMINISTRATION,Postage,2016,3000,2718
ADMINISTRATION,Postage,2017,3000,
ADMINISTRATION,Postage,2018,3000,
ADMINISTRATION,Auditing,2016,3800,4150
ADMINISTRATION,Auditing,2017,4000,
ADMINISTRATION,Auditing,2018,7200,
ADMINISTRATION,Listing Mileage/Expenses,2016,2500,2888
ADMINISTRATION,Listing Mileage/Expenses,2017,2500,
ADMINISTRATION,Listing Mileage/Expenses,2018,2500,
ADMINISTRATION,Clerk's Office Seminars,2016,300,100
ADMINISTRATION,Clerk's Office Seminars,2017,300,
ADMINISTRATION,Clerk's Office Seminars,2018,300,
ADMINISTRATION,Listing Mapping,2016,750,0
ADMINISTRATION,Listing Mapping,2017,750,
ADMINISTRATION,Listing Mapping,2018,750,
ADMINISTRATION,Copier Lease,2016,2500,1889
ADMINISTRATION,Copier Lease,2017,2100,
ADMINISTRATION,Copier Lease,2018,2100,
ADMINISTRATION,Computer Maintenance,2016,5000,6004
ADMINISTRATION,Computer Maintenance,2017,5000,
ADMINISTRATION,Computer Maintenance,2018,5000,
ADMINISTRATION,Land Acquisition,2016,0,20000
ADMINISTRATION,Land Acquisition,2017,0,
ADMINISTRATION,Land Acquisition,2018,0,
ADMINISTRATION,ACS Recording Loan***,2016,0,0
ADMINISTRATION,ACS Recording Loan***,2017,0,
ADMINISTRATION,ACS Recording Loan***,2018,960,
ADMINISTRATION,ACS Recording Interest,2016,0,0
ADMINISTRATION,ACS Recording Interest,2017,0,
ADMINISTRATION,ACS Recording Interest,2018,84,
TOWN HALL,Electricity,2016,2600,2068
TOWN HALL,Electricity,2017,2000,
TOWN HALL,Electricity,2018,2226,
TOWN HALL,Heat,2016,4500,1504
TOWN HALL,Heat,2017,4000,
TOWN HALL,Heat,2018,2000,
TOWN HALL,Grounds,2016,1500,2208
TOWN HALL,Grounds,2017,2500,
TOWN HALL,Grounds,2018,2500,
TOWN HALL,Building Repairs,2016,4000,4257
TOWN HALL,Building Repairs,2017,4000,
TOWN HALL,Building Repairs,2018,3500,
TOWN HALL,Street Lights,2016,2200,2132
TOWN HALL,Street Lights,2017,2200,
TOWN HALL,Street Lights,2018,2200,
TOWN HALL,Janitorial,2016,,
TOWN HALL,Janitorial,2017,,
TOWN HALL,Janitorial,2018,1500,
PUBLIC SAFETY,Health Officer,2016,250,0
PUBLIC SAFETY,Health Officer,2017,0,
PUBLIC SAFETY,Health Officer,2018,0,
PUBLIC SAFETY,Wages: Animal Control Officer,2016,750,360
PUBLIC SAFETY,Wages: Animal Control Officer,2017,2000,
PUBLIC SAFETY,Wages: Animal Control Officer,2018,1000,
PUBLIC SAFETY,Wages: Payroll Tax,2016,,
PUBLIC SAFETY,Wages: Payroll Tax,2017,,
PUBLIC SAFETY,Wages: Payroll Tax,2018,114,
PUBLIC SAFETY,Courses/Seminars,2016,100,0
PUBLIC SAFETY,Courses/Seminars,2017,100,
PUBLIC SAFETY,Courses/Seminars,2018,100,
PUBLIC SAFETY,Ambulance,2016,59720,59720
PUBLIC SAFETY,Ambulance,2017,61810,
PUBLIC SAFETY,Ambulance,2018,63974,
PUBLIC SAFETY,Speed Enforcement,2016,7500,5832
PUBLIC SAFETY,Speed Enforcement,2017,7500,
PUBLIC SAFETY,Speed Enforcement,2018,7500,
PUBLIC SAFETY,Dog Pound,2016,800,0
PUBLIC SAFETY,Dog Pound,2017,500,
PUBLIC SAFETY,Dog Pound,2018,600,
PUBLIC SAFETY,Emergency Management,2016,750,0
PUBLIC SAFETY,Emergency Management,2017,250,
PUBLIC SAFETY,Emergency Management,2018,250,
FIRE DEPARTMENT,FD-Insurance: Property & Casualty,2016,,
FIRE DEPARTMENT,FD-Insurance: Property & Casualty,2017,,
FIRE DEPARTMENT,FD-Insurance: Property & Casualty,2018,8200,
FIRE DEPARTMENT,FD-Insurance: Workers Compensation,2016,,
FIRE DEPARTMENT,FD-Insurance: Workers Compensation,2017,,
FIRE DEPARTMENT,FD-Insurance: Workers Compensation,2018,1800,
FIRE DEPARTMENT,FD-Supplies,2016,200,0
FIRE DEPARTMENT,FD-Supplies,2017,200,
FIRE DEPARTMENT,FD-Supplies,2018,200,
FIRE DEPARTMENT,FD-Equipment Repair,2016,7250,9966
FIRE DEPARTMENT,FD-Equipment Repair,2017,7250,
FIRE DEPARTMENT,FD-Equipment Repair,2018,9500,
FIRE DEPARTMENT,FD-Equipment Purchase,2016,2100,10218
FIRE DEPARTMENT,FD-Equipment Purchase,2017,2400,
FIRE DEPARTMENT,FD-Equipment Purchase,2018,4531,
FIRE DEPARTMENT,FD-Telephone,2016,1000,1028
FIRE DEPARTMENT,FD-Telephone,2017,1100,
FIRE DEPARTMENT,FD-Telephone,2018,1100,
FIRE DEPARTMENT,FD-Fast Squad,2016,1000,539
FIRE DEPARTMENT,FD-Fast Squad,2017,1000,
FIRE DEPARTMENT,FD-Fast Squad,2018,1000,
FIRE DEPARTMENT,FD-Electricity,2016,1600,1184
FIRE DEPARTMENT,FD-Electricity,2017,1600,
FIRE DEPARTMENT,FD-Electricity,2018,1600,
FIRE DEPARTMENT,FD-Fuel - Heat,2016,6000,1897
FIRE DEPARTMENT,FD-Fuel - Heat,2017,6000,
FIRE DEPARTMENT,FD-Fuel - Heat,2018,3000,
FIRE DEPARTMENT,FD-Building Maintenance,2016,2500,1693
FIRE DEPARTMENT,FD-Building Maintenance,2017,2500,
FIRE DEPARTMENT,FD-Building Maintenance,2018,2500,
FIRE DEPARTMENT,FD-Radio Dispatch,2016,17864,17863
FIRE DEPARTMENT,FD-Radio Dispatch,2017,19470,
FIRE DEPARTMENT,FD-Radio Dispatch,2018,19882,
FIRE DEPARTMENT,FD-VSFA Dues/Legal Fees,2016,1825,915
FIRE DEPARTMENT,FD-VSFA Dues/Legal Fees,2017,1750,
FIRE DEPARTMENT,FD-VSFA Dues/Legal Fees,2018,1750,
FIRE DEPARTMENT,FD-Forest Fire Warden,2016,250,150
FIRE DEPARTMENT,FD-Forest Fire Warden,2017,250,
FIRE DEPARTMENT,FD-Forest Fire Warden,2018,250,
FIRE DEPARTMENT,FD-Administrative Assista,2016,1000,0
FIRE DEPARTMENT,FD-Administrative Assista,2017,0,
FIRE DEPARTMENT,FD-Administrative Assista,2018,0,
FIRE DEPARTMENT,FD-GAS,2016,2500,628
FIRE DEPARTMENT,FD-GAS,2017,2500,
FIRE DEPARTMENT,FD-GAS,2018,2000,
FIRE DEPARTMENT,FD-Stipends,2016,3000,3420
FIRE DEPARTMENT,FD-Stipends,2017,3000,
FIRE DEPARTMENT,FD-Stipends,2018,3000,
FIRE DEPARTMENT,FD-Communication/Radio,2016,1200,0
FIRE DEPARTMENT,FD-Communication/Radio,2017,1200,
FIRE DEPARTMENT,FD-Communication/Radio,2018,1200,
FIRE DEPARTMENT DEBT SERVICE,Fire Station Bond,2016,40000,40000
FIRE DEPARTMENT DEBT SERVICE,Fire Station Bond,2017,40000,
FIRE DEPARTMENT DEBT SERVICE,Fire Station Bond,2018,40000,
FIRE DEPARTMENT DEBT SERVICE,Fire Station Interest,2016,24585,24583
FIRE DEPARTMENT DEBT SERVICE,Fire Station Interest,2017,23357,
FIRE DEPARTMENT DEBT SERVICE,Fire Station Interest,2018,20583,
FIRE DEPARTMENT DEBT SERVICE,1998 Fire Truck,2016,6000,15000
FIRE DEPARTMENT DEBT SERVICE,1998 Fire Truck,2017,7500,
FIRE DEPARTMENT DEBT SERVICE,1998 Fire Truck,2018,7500,
FIRE DEPARTMENT DEBT SERVICE,1998 Fire Truck Interest,2016,800,667
FIRE DEPARTMENT DEBT SERVICE,1998 Fire Truck Interest,2017,750,
FIRE DEPARTMENT DEBT SERVICE,1998 Fire Truck Interest,2018,200,
FIRE DEPARTMENT DEBT SERVICE,Equipment Note FD,2016,2000,2000
FIRE DEPARTMENT DEBT SERVICE,Equipment Note FD,2017,2000,
FIRE DEPARTMENT DEBT SERVICE,Equipment Note FD,2018,2000,
FIRE DEPARTMENT DEBT SERVICE,Equipment Note FD Interes,2016,300,0
FIRE DEPARTMENT DEBT SERVICE,Equipment Note FD Interes,2017,285,
FIRE DEPARTMENT DEBT SERVICE,Equipment Note FD Interes,2018,115,
PUBLIC WORKS,Wages: Highway,2016,179959,158818
PUBLIC WORKS,Wages: Highway,2017,191810,
PUBLIC WORKS,Wages: Highway,2018,195646,
PUBLIC WORKS,Wages: Payroll Tax,2016,,
PUBLIC WORKS,Wages: Payroll Tax,2017,,
PUBLIC WORKS,Wages: Payroll Tax,2018,15032,
PUBLIC WORKS,Wages: Unemployment,2016,,
PUBLIC WORKS,Wages: Unemployment,2017,,
PUBLIC WORKS,Wages: Unemployment,2018,650,
PUBLIC WORKS,Wages: Retirement,2016,,
PUBLIC WORKS,Wages: Retirement,2017,,
PUBLIC WORKS,Wages: Retirement,2018,10808,
PUBLIC WORKS,Insurance: Health,2016,,
PUBLIC WORKS,Insurance: Health,2017,,
PUBLIC WORKS,Insurance: Health,2018,27000,
PUBLIC WORKS,Insurance: Property & Casualty,2016,,
PUBLIC WORKS,Insurance: Property & Casualty,2017,,
PUBLIC WORKS,Insurance: Property & Casualty,2018,11800,
PUBLIC WORKS,Insurance: Workers Compensation,2016,,
PUBLIC WORKS,Insurance: Workers Compensation,2017,,
PUBLIC WORKS,Insurance: Workers Compensation,2018,20100,
PUBLIC WORKS,Insurance: Life/LTD/AD+D,2016,,
PUBLIC WORKS,Insurance: Life/LTD/AD+D,2017,,
PUBLIC WORKS,Insurance: Life/LTD/AD+D,2018,1470,
PUBLIC WORKS,Winter Maintenance,2016,69000,63150
PUBLIC WORKS,Winter Maintenance,2017,69000,
PUBLIC WORKS,Winter Maintenance,2018,67500,
PUBLIC WORKS,Summer Maintenance,2016,29575,29648
PUBLIC WORKS,Summer Maintenance,2017,29575,
PUBLIC WORKS,Summer Maintenance,2018,37950,
PUBLIC WORKS,Equipment Maintenance,2016,41300,70183
PUBLIC WORKS,Equipment Maintenance,2017,41300,
PUBLIC WORKS,Equipment Maintenance,2018,41300,
PUBLIC WORKS,Courses/Seminars,2016,300,185
PUBLIC WORKS,Courses/Seminars,2017,300,
PUBLIC WORKS,Courses/Seminars,2018,300,
PUBLIC WORKS,Utilities,2016,4000,5810
PUBLIC WORKS,Utilities,2017,4000,
PUBLIC WORKS,Utilities,2018,4000,
PUBLIC WORKS,Garage Maintenance,2016,15175,20004
PUBLIC WORKS,Garage Maintenance,2017,15175,
PUBLIC WORKS,Garage Maintenance,2018,12525,
PUBLIC WORKS,Gas/Diesel/Oil,2016,64000,34244
PUBLIC WORKS,Gas/Diesel/Oil,2017,60000,
PUBLIC WORKS,Gas/Diesel/Oil,2018,42000,
PUBLIC WORKS,Culverts,2016,4000,3933
PUBLIC WORKS,Culverts,2017,4000,
PUBLIC WORKS,Culverts,2018,15000,
PUBLIC WORKS,Signs,2016,3500,716
PUBLIC WORKS,Signs,2017,3500,
PUBLIC WORKS,Signs,2018,3500,
PUBLIC WORKS,Bridge Fund,2016,2000,2000
PUBLIC WORKS,Bridge Fund,2017,2000,
PUBLIC WORKS,Bridge Fund,2018,6000,
PUBLIC WORKS,Paving Fund,2016,30000,30000
PUBLIC WORKS,Paving Fund,2017,20000,
PUBLIC WORKS,Paving Fund,2018,30000,
PUBLIC WORKS,Construction & Paving,2016,64125,81300
PUBLIC WORKS,Construction & Paving,2017,64125,
PUBLIC WORKS,Construction & Paving,2018,56200,
PUBLIC WORKS,Equipment Purchase,2016,1750,5797
PUBLIC WORKS,Equipment Purchase,2017,3500,
PUBLIC WORKS,Equipment Purchase,2018,5050,
PUBLIC WORKS,Green-Up,2016,0,453
PUBLIC WORKS,Green-Up,2017,0,
PUBLIC WORKS,Green-Up,2018,0,
PUBLIC WORKS DEBT SERVICE,2010 International Dump-PRIN,2016,0,19400
PUBLIC WORKS DEBT SERVICE,2010 International Dump-PRIN,2017,10000,
PUBLIC WORKS DEBT SERVICE,2010 International Dump-PRIN,2018,10000,
PUBLIC WORKS DEBT SERVICE,2010 Int Dump - INT,2016,0,889
PUBLIC WORKS DEBT SERVICE,2010 Int Dump - INT,2017,879,
PUBLIC WORKS DEBT SERVICE,2010 Int Dump - INT,2018,350,
PUBLIC WORKS DEBT SERVICE,2014 Western Star 4700 -PRIN,2016,29010,29007
PUBLIC WORKS DEBT SERVICE,2014 Western Star 4700 -PRIN,2017,29008,
PUBLIC WORKS DEBT SERVICE,2014 Western Star 4700 -PRIN,2018,29008,
PUBLIC WORKS DEBT SERVICE,2014 West. Star Trk-INTER,2016,3300,3237
PUBLIC WORKS DEBT SERVICE,2014 West. Star Trk-INTER,2017,2435,
PUBLIC WORKS DEBT SERVICE,2014 West. Star Trk-INTER,2018,1619,
PUBLIC WORKS DEBT SERVICE,2015 GMC TRK-PRIN,2016,5870,5870
PUBLIC WORKS DEBT SERVICE,2015 GMC TRK-PRIN,2017,5870,
PUBLIC WORKS DEBT SERVICE,2015 GMC TRK-PRIN,2018,5870,
PUBLIC WORKS DEBT SERVICE,2015 GMC TRK - INT,2016,866,693
PUBLIC WORKS DEBT SERVICE,2015 GMC TRK - INT,2017,520,
PUBLIC WORKS DEBT SERVICE,2015 GMC TRK - INT,2018,347,
PUBLIC WORKS DEBT SERVICE,2014 Komatsu Loader -PRIN,2016,23678,23658
PUBLIC WORKS DEBT SERVICE,2014 Komatsu Loader -PRIN,2017,23657,
PUBLIC WORKS DEBT SERVICE,2014 Komatsu Loader -PRIN,2018,23658,
PUBLIC WORKS DEBT SERVICE,2014 Komatsu Loader-INT,2016,2662,2794
PUBLIC WORKS DEBT SERVICE,2014 Komatsu Loader-INT,2017,2094,
PUBLIC WORKS DEBT SERVICE,2014 Komatsu Loader-INT,2018,1396,
CEMETERY,Labor,2016,4300,5500
CEMETERY,Labor,2017,4300,
CEMETERY,Labor,2018,4300,
CEMETERY,Materials,2016,1300,0
CEMETERY,Materials,2017,1300,
CEMETERY,Materials,2018,1300,
CEMETERY,Repair to Cemetery,2016,1300,0
CEMETERY,Repair to Cemetery,2017,1300,
CEMETERY,Repair to Cemetery,2018,1300,
RECREATION,Wages: Recreation**,2016,,
RECREATION,Wages: Recreation**,2017,,
RECREATION,Wages: Recreation**,2018,3554,
RECREATION,Wages: Payroll Tax,2016,,
RECREATION,Wages: Payroll Tax,2017,,
RECREATION,Wages: Payroll Tax,2018,272,
RECREATION,Wrightsville Beach,2016,904,2531
RECREATION,Wrightsville Beach,2017,1600,
RECREATION,Wrightsville Beach,2018,1989,
RECREATION,Town BOR,2016,3000,2321
RECREATION,Town BOR,2017,3000,
RECREATION,Town BOR,2018,3000,
RECREATION,Learn to Swim Program,2016,1300,675
RECREATION,Learn to Swim Program,2017,1300,
RECREATION,Learn to Swim Program,2018,700,
RECREATION,Bandstand Mowing,2016,750,360
RECREATION,Bandstand Mowing,2017,750,
RECREATION,Bandstand Mowing,2018,500,
RECREATION,Shady Rill Park****,2016,,
RECREATION,Shady Rill Park****,2017,,
RECREATION,Shady Rill Park****,2018,5000,
ZONING/BRD OF ADJUSTMENT,Wages: Zoning*,2016,,
ZONING/BRD OF ADJUSTMENT,Wages: Zoning*,2017,,
ZONING/BRD OF ADJUSTMENT,Wages: Zoning*,2018,1500,
ZONING/BRD OF ADJUSTMENT,Wages: Payroll Tax*,2016,,
ZONING/BRD OF ADJUSTMENT,Wages: Payroll Tax*,2017,,
ZONING/BRD OF ADJUSTMENT,Wages: Payroll Tax*,2018,115,
ZONING/BRD OF ADJUSTMENT,Mileage/expenses,2016,0,39
ZONING/BRD OF ADJUSTMENT,Mileage/expenses,2017,0,
ZONING/BRD OF ADJUSTMENT,Mileage/expenses,2018,0,
ZONING/BRD OF ADJUSTMENT,Advertising,2016,750,275
ZONING/BRD OF ADJUSTMENT,Advertising,2017,500,
ZONING/BRD OF ADJUSTMENT,Advertising,2018,500,
ZONING/BRD OF ADJUSTMENT,Courses/Seminars,2016,0,0
ZONING/BRD OF ADJUSTMENT,Courses/Seminars,2017,0,
ZONING/BRD OF ADJUSTMENT,Courses/Seminars,2018,100,
PLANNING COMMISSION,Advertising,2016,500,386
PLANNING COMMISSION,Advertising,2017,500,
PLANNING COMMISSION,Advertising,2018,500,
PLANNING COMMISSION,Mapping,2016,0,0
PLANNING COMMISSION,Mapping,2017,0,
PLANNING COMMISSION,Mapping,2018,0,
PLANNING COMMISSION,Mail Drop/Postage,2016,500,216
PLANNING COMMISSION,Mail Drop/Postage,2017,500,
PLANNING COMMISSION,Mail Drop/Postage,2018,500,
PLANNING COMMISSION,Printing & Copying,2016,500,0
PLANNING COMMISSION,Printing & Copying,2017,500,
PLANNING COMMISSION,Printing & Copying,2018,500,
PLANNING COMMISSION,Consultation,2016,0,0
PLANNING COMMISSION,Consultation,2017,0,
PLANNING COMMISSION,Consultation,2018,500,
SPECIAL ARTICLES,Kellogg-Hubbard Library,2016,27760,27760
SPECIAL ARTICLES,Kellogg-Hubbard Library,2017,27760,
SPECIAL ARTICLES,Kellogg-Hubbard Library,2018,27760,
SPECIAL ARTICLES,Waterbury Area Senior Center,2016,10000,10000
SPECIAL ARTICLES,Waterbury Area Senior Center,2017,10000,
SPECIAL ARTICLES,Waterbury Area Senior Center,2018,10000,
SPECIAL ARTICLES,Middlesex Conservation Fund,2016,5000,5000
SPECIAL ARTICLES,Middlesex Conservation Fund,2017,2000,
SPECIAL ARTICLES,Middlesex Conservation Fund,2018,5000,
SPECIAL ARTICLES,Montpelier Senior Center,2016,3400,3400
SPECIAL ARTICLES,Montpelier Senior Center,2017,4300,
SPECIAL ARTICLES,Montpelier Senior Center,2018,4500,
SPECIAL ARTICLES,CV Home Health & Hospice,2016,3750,3750
SPECIAL ARTICLES,CV Home Health & Hospice,2017,3750,
SPECIAL ARTICLES,CV Home Health & Hospice,2018,3750,
SPECIAL ARTICLES,Middlesex Community Conn.,2016,3000,3000
SPECIAL ARTICLES,Middlesex Community Conn.,2017,3000,
SPECIAL ARTICLES,Middlesex Community Conn.,2018,3000,
SPECIAL ARTICLES,Girls/Boyz First Mentoring,2016,1500,1500
SPECIAL ARTICLES,Girls/Boyz First Mentoring,2017,1500,
SPECIAL ARTICLES,Girls/Boyz First Mentoring,2018,1500,
SPECIAL ARTICLES,North Branch Nature Center,2016,1000,1000
SPECIAL ARTICLES,North Branch Nature Center,2017,250,
SPECIAL ARTICLES,North Branch Nature Center,2018,1500,
SPECIAL ARTICLES,CV Adult Basic Education,2016,1000,1000
SPECIAL ARTICLES,CV Adult Basic Education,2017,1000,
SPECIAL ARTICLES,CV Adult Basic Education,2018,1000,
SPECIAL ARTICLES,CV Economic Development,2016,500,500
SPECIAL ARTICLES,CV Economic Development,2017,600,
SPECIAL ARTICLES,CV Economic Development,2018,500,
SPECIAL ARTICLES,American Red Cross,2016,250,250
SPECIAL ARTICLES,American Red Cross,2017,250,
SPECIAL ARTICLES,American Red Cross,2018,250,
SPECIAL ARTICLES,CV Council on Aging,2016,250,250
SPECIAL ARTICLES,CV Council on Aging,2017,1500,
SPECIAL ARTICLES,CV Council on Aging,2018,250,
SPECIAL ARTICLES,Down Street Housing & Comm. Dev.,2016,,
SPECIAL ARTICLES,Down Street Housing & Comm. Dev.,2017,,
SPECIAL ARTICLES,Down Street Housing & Comm. Dev.,2018,250,
SPECIAL ARTICLES,Family Center of Vermont,2016,500,500
SPECIAL ARTICLES,Family Center of Vermont,2017,250,
SPECIAL ARTICLES,Family Center of Vermont,2018,250,
SPECIAL ARTICLES,Good Beginnings,2016,249,249
SPECIAL ARTICLES,Good Beginnings,2017,250,
SPECIAL ARTICLES,Good Beginnings,2018,250,
SPECIAL ARTICLES,Home Share Now,2016,250,250
SPECIAL ARTICLES,Home Share Now,2017,250,
SPECIAL ARTICLES,Home Share Now,2018,250,
SPECIAL ARTICLES,Our House,2016,0,0
SPECIAL ARTICLES,Our House,2017,250,
SPECIAL ARTICLES,Our House,2018,250,
SPECIAL ARTICLES,The Childrens Room,2016,200,200
SPECIAL ARTICLES,The Childrens Room,2017,250,
SPECIAL ARTICLES,The Childrens Room,2018,250,
SPECIAL ARTICLES,T W Wood Gallery,2016,0,0
SPECIAL ARTICLES,T W Wood Gallery,2017,0,
SPECIAL ARTICLES,T W Wood Gallery,2018,250,
SPECIAL ARTICLES,Vermont Cares,2016,250,250
SPECIAL ARTICLES,Vermont Cares,2017,250,
SPECIAL ARTICLES,Vermont Cares,2018,250,
SPECIAL ARTICLES,Washington County Diversion,2016,250,250
SPECIAL ARTICLES,Washington County Diversion,2017,250,
SPECIAL ARTICLES,Washington County Diversion,2018,250,
SPECIAL ARTICLES,VT Assoc for the Blind,2016,249,249
SPECIAL ARTICLES,VT Assoc for the Blind,2017,249,
