section,line_item,fiscal_year,budgeted,actual
Recreation,Recreation Equipment (nets/hardware),2021,0,0.0
Recreation,Recreation Equipment (nets/hardware),2022,0,
Recreation,Recreation Equipment (nets/hardware),2023,0,
Recreation,Ice Rink,2021,0,0.0
Recreation,Ice Rink,2022,0,
Recreation,Ice Rink,2023,500,
Recreation,Tennis/Basketball Court Rehabilitation,2021,0,0.0
Recreation,Tennis/Basketball Court Rehabilitation,2022,0,
Recreation,Tennis/Basketball Court Rehabilitation,2023,5000,
Recreation,Walter Kelly Park-Mowing & Portalet,2021,2940,2319.0
Recreation,Walter Kelly Park-Mowing & Portalet,2022,2600,
Recreation,Walter Kelly Park-Mowing & Portalet,2023,3120,
Recreation,Facility Maintenance Fund,2021,500,212.17
Recreation,Facility Maintenance Fund,2022,500,
Recreation,Facility Maintenance Fund,2023,500,
Recreation,TOTAL RECREATION,2021,17589,13462.17
Recreation,TOTAL RECREATION,2022,17203,
Recreation,TOTAL RECREATION,2023,25983,
Zoning/BRD of Adjustment,Wages: Zoning,2021,6896,6428.68
Zoning/BRD of Adjustment,Wages: Zoning,2022,7034,
Zoning/BRD of Adjustment,Wages: Zoning,2023,8486,
Zoning/BRD of Adjustment,Zoning: Payroll Tax,2021,528,460.41
Zoning/BRD of Adjustment,Zoning: Payroll Tax,2022,538,
Zoning/BRD of Adjustment,Zoning: Payroll Tax,2023,649,
Zoning/BRD of Adjustment,Zoning: Workers Compensation,2021,31,
Zoning/BRD of Adjustment,Zoning: Workers Compensation,2022,260,
Zoning/BRD of Adjustment,Zoning: Workers Compensation,2023,39,
Zoning/BRD of Adjustment,Mileage/expenses,2021,25,200.58
Zoning/BRD of Adjustment,Mileage/expenses,2022,150,
Zoning/BRD of Adjustment,Mileage/expenses,2023,150,
Zoning/BRD of Adjustment,Advertising,2021,0,355.93
Zoning/BRD of Adjustment,Advertising,2022,50,
Zoning/BRD of Adjustment,Advertising,2023,400,
Zoning/BRD of Adjustment,Zoning: Legal/enforcement,2021,2000,2990.9
Zoning/BRD of Adjustment,Zoning: Legal/enforcement,2022,2000,
Zoning/BRD of Adjustment,Zoning: Legal/enforcement,2023,3000,
Zoning/BRD of Adjustment,Courses/Seminars,2021,250,20.0
Zoning/BRD of Adjustment,Courses/Seminars,2022,500,
Zoning/BRD of Adjustment,Courses/Seminars,2023,250,
Zoning/BRD of Adjustment,Total Zoning/BRD of Adjustment,2021,9730,10456.5
Zoning/BRD of Adjustment,Total Zoning/BRD of Adjustment,2022,10532,
Zoning/BRD of Adjustment,Total Zoning/BRD of Adjustment,2023,12975,
Planning Commission,Advertising,2021,500,276.48
Planning Commission,Advertising,2022,500,
Planning Commission,Advertising,2023,1000,
Planning Commission,Mail Drop/Postage,2021,500,237.4
Planning Commission,Mail Drop/Postage,2022,500,
Planning Commission,Mail Drop/Postage,2023,1000,
Planning Commission,Printing & Copying,2021,500,37.31
Planning Commission,Printing & Copying,2022,500,
Planning Commission,Printing & Copying,2023,1000,
Planning Commission,Consultation,2021,7500,6982.42
Planning Commission,Consultation,2022,9500,
Planning Commission,Consultation,2023,3500,
Planning Commission,PC Legal,2021,0,640.0
Planning Commission,PC Legal,2022,0,
Planning Commission,PC Legal,2023,0,
Planning Commission,Future Grant Match,2021,0,
Planning Commission,Future Grant Match,2022,0,
Planning Commission,Future Grant Match,2023,2000,
Planning Commission,Grant-Village Improvement 07110-MP-2020,2021,0,19545.0
Planning Commission,Grant-Village Improvement 07110-MP-2020,2022,0,
Planning Commission,Grant-Village Improvement 07110-MP-2020,2023,0,
Planning Commission,Grant-Village Improvement 07110-MP-2021,2021,0,2437.98
Planning Commission,Grant-Village Improvement 07110-MP-2021,2022,0,
Planning Commission,Grant-Village Improvement 07110-MP-2021,2023,0,
Planning Commission,Grant Match - VTTRANS Bike/Sidewalk Scoping,2021,0,2870.18
Planning Commission,Grant Match - VTTRANS Bike/Sidewalk Scoping,2022,6000,
Planning Commission,Grant Match - VTTRANS Bike/Sidewalk Scoping,2023,0,
Planning Commission,Total Planning Commission,2021,9000,33026.77
Planning Commission,Total Planning Commission,2022,17000,
Planning Commission,Total Planning Commission,2023,8500,
Special Articles,Middlesex Conservation Fund,2021,5000,5000.0
Special Articles,Middlesex Conservation Fund,2022,2500,
Special Articles,Middlesex Conservation Fund,2023,5000,
Special Articles,CV Economic Development,2021,600,600.0
Special Articles,CV Economic Development,2022,600,
Special Articles,CV Economic Development,2023,600,
Special Articles,CV Home Health & Hospice,2021,4050,4050.0
Special Articles,CV Home Health & Hospice,2022,4050,
Special Articles,CV Home Health & Hospice,2023,4050,
Special Articles,Middlesex Community Conn.,2021,3000,3000.0
Special Articles,Middlesex Community Conn.,2022,3000,
Special Articles,Middlesex Community Conn.,2023,3000,
Special Articles,Girls/Boyz First Mentoring,2021,1500,1500.0
Special Articles,Girls/Boyz First Mentoring,2022,1500,
Special Articles,Girls/Boyz First Mentoring,2023,1500,
Special Articles,Kellogg-Hubbard Library,2021,29801,29801.0
Special Articles,Kellogg-Hubbard Library,2022,29801,
Special Articles,Kellogg-Hubbard Library,2023,32022,
Special Articles,Montpelier Senior Center,2021,7000,7000.0
Special Articles,Montpelier Senior Center,2022,7000,
Special Articles,Montpelier Senior Center,2023,7000,
Special Articles,Putnamville Speed Signs,2021,8000,12836.2
Special Articles,Putnamville Speed Signs,2022,0,
Special Articles,Putnamville Speed Signs,2023,0,
Special Articles,North Branch Nature Center,2021,0,0.0
Special Articles,North Branch Nature Center,2022,2000,
Special Articles,North Branch Nature Center,2023,2000,
Special Articles,Waterbury Area Senior Center,2021,10000,10000.0
Special Articles,Waterbury Area Senior Center,2022,10000,
Special Articles,Waterbury Area Senior Center,2023,7500,
Special Articles,American Red Cross,2021,250,250.0
Special Articles,American Red Cross,2022,250,
Special Articles,American Red Cross,2023,250,
Special Articles,Big Heavy World,2021,250,250.0
Special Articles,Big Heavy World,2022,250,
Special Articles,Big Heavy World,2023,250,
Special Articles,CV Adult Basic Education,2021,250,250.0
Special Articles,CV Adult Basic Education,2022,250,
Special Articles,CV Adult Basic Education,2023,250,
Special Articles,CV Council on Aging,2021,250,250.0
Special Articles,CV Council on Aging,2022,250,
Special Articles,CV Council on Aging,2023,250,
Special Articles,The Childrens Room,2021,0,0.0
Special Articles,The Childrens Room,2022,250,
Special Articles,The Childrens Room,2023,0,
Special Articles,Circle,2021,199,199.0
Special Articles,Circle,2022,199,
Special Articles,Circle,2023,199,
Special Articles,Community Harvest of Central Vermont,2021,250,250.0
Special Articles,Community Harvest of Central Vermont,2022,250,
Special Articles,Community Harvest of Central Vermont,2023,250,
Special Articles,CV Dart Animal Response Team,2021,100,100.0
Special Articles,CV Dart Animal Response Team,2022,0,
Special Articles,CV Dart Animal Response Team,2023,0,
Special Articles,Family Center of Vermont,2021,0,0.0
Special Articles,Family Center of Vermont,2022,250,
Special Articles,Family Center of Vermont,2023,250,
Special Articles,Good Beginnings,2021,250,250.0
Special Articles,Good Beginnings,2022,250,
Special Articles,Good Beginnings,2023,250,
Special Articles,Good Samaitian Haven,2021,0,0.0
Special Articles,Good Samaitian Haven,2022,250,
Special Articles,Good Samaitian Haven,2023,250,
Special Articles,Green Mtn Transit,2021,249,249.0
Special Articles,Green Mtn Transit,2022,249,
Special Articles,Green Mtn Transit,2023,249,
Special Articles,Green Up Vermont,2021,100,100.0
Special Articles,Green Up Vermont,2022,100,
Special Articles,Green Up Vermont,2023,100,
Special Articles,Montpelier Veteran's Council,2021,250,250.0
Special Articles,Montpelier Veteran's Council,2022,250,
Special Articles,Montpelier Veteran's Council,2023,250,
Special Articles,Our House of Central Vermont,2021,250,250.0
Special Articles,Our House of Central Vermont,2022,250,
Special Articles,Our House of Central Vermont,2023,250,
Special Articles,Peoples Health & Wellness,2021,250,250.0
Special Articles,Peoples Health & Wellness,2022,0,
Special Articles,Peoples Health & Wellness,2023,250,
Special Articles,MOSAIC Sexual Assault Crisis Team,2021,250,250.0
Special Articles,MOSAIC Sexual Assault Crisis Team,2022,250,
Special Articles,MOSAIC Sexual Assault Crisis Team,2023,250,
Special Articles,VT Assoc for the Blind,2021,0,0.0
Special Articles,VT Assoc for the Blind,2022,249,
Special Articles,VT Assoc for the Blind,2023,249,
Special Articles,VT Center for Independent Living,2021,195,195.0
Special Articles,VT Center for Independent Living,2022,195,
Special Articles,VT Center for Independent Living,2023,195,
Special Articles,Vermont Family Network,2021,250,250.0
Special Articles,Vermont Family Network,2022,250,
Special Articles,Vermont Family Network,2023,250,
Special Articles,VT Rural Fire Prot Task Force,2021,100,100.0
Special Articles,VT Rural Fire Prot Task Force,2022,100,
Special Articles,VT Rural Fire Prot Task Force,2023,100,
Special Articles,Washington County Diversion,2021,250,250.0
Special Articles,Washington County Diversion,2022,250,
Special Articles,Washington County Diversion,2023,250,
Special Articles,Washington County Youth Service,2021,175,175.0
Special Articles,Washington County Youth Service,2022,175,
Special Articles,Washington County Youth Service,2023,175,
Special Articles,Winooski Natural Resources,2021,250,250.0
Special Articles,Winooski Natural Resources,2022,250,
Special Articles,Winooski Natural Resources,2023,0,
Special Articles,Sub-Total Special Articles,2021,73319,78155
Special Articles,Sub-Total Special Articles,2022,65468,
Special Articles,Sub-Total Special Articles,2023,67439,
Summary,TOTAL TOWN BUDGET,2021,1323867,1309777.72
Summary,TOTAL TOWN BUDGET,2022,1382738,
Summary,TOTAL TOWN BUDGET,2023,1503408,
Summary,TOTAL BUDGET Plus Special Articles,2021,1397186,1387932.92
Summary,TOTAL BUDGET Plus Special Articles,2022,1448206,
Summary,TOTAL BUDGET Plus Special Articles,2023,1570847,
